timestamp,model,prompt_tokens,completion_tokens,total_tokens,cost
2025-12-26 21:16:51,gpt-4.1-mini,2350,914,3264,0.0024024
2025-12-26 21:17:15,gpt-4.1-mini,2350,1044,3394,0.0026103999999999997
2025-12-26 21:17:37,gpt-4.1-mini,2350,888,3238,0.0023607999999999997
2025-12-26 21:17:57,gpt-4.1-mini,1862,894,2756,0.0021752
2025-12-26 21:18:20,gpt-4.1-mini,1862,900,2762,0.0021847999999999998
2025-12-26 21:18:43,gpt-4.1-mini,1862,874,2736,0.0021432
2025-12-26 21:19:42,gpt-4.1-mini,1599,771,2370,0.0018731999999999998
2025-12-26 21:20:04,gpt-4.1-mini,1599,889,2488,0.0020619999999999996
2025-12-26 21:20:35,gpt-4.1-mini,1599,860,2459,0.0020155999999999998
2025-12-26 21:20:51,gpt-4.1-mini,1749,557,2306,0.0015907999999999999
2025-12-26 21:21:10,gpt-4.1-mini,1749,642,2391,0.0017268000000000001
2025-12-26 21:21:28,gpt-4.1-mini,1749,687,2436,0.0017988000000000001
2025-12-26 21:22:26,gpt-4.1-mini,3229,2380,5609,0.005099599999999999
2025-12-26 21:23:07,gpt-4.1-mini,3229,2230,5459,0.0048596
2025-12-26 21:23:50,gpt-4.1-mini,3229,2696,5925,0.005605199999999999
2025-12-26 21:24:35,gpt-4.1-mini,3712,3025,6737,0.006324799999999999
2025-12-26 21:25:36,gpt-4.1-mini,3712,2971,6683,0.0062384
2025-12-26 21:26:19,gpt-4.1-mini,3712,2896,6608,0.0061183999999999995
2025-12-26 21:27:28,gpt-4.1-mini,4896,2811,7707,0.006456
2025-12-26 21:28:11,gpt-4.1-mini,4896,2847,7743,0.0065136
2025-12-26 21:29:10,gpt-4.1-mini,4896,2346,7242,0.005712
2025-12-26 21:29:58,gpt-4.1-mini,4654,3027,7681,0.0067047999999999995
2025-12-26 21:30:48,gpt-4.1-mini,4654,2992,7646,0.0066488
2025-12-26 21:31:37,gpt-4.1-mini,4654,3063,7717,0.006762399999999999
